observation_date,NGDPRSAXDCBRQ
2016-01-01,288139.906250
2016-04-01,288991.093750
2016-07-01,287533.812500
2016-10-01,287274.000000
2017-01-01,290028.812500
2017-04-01,292338.500000
2017-07-01,293301.500000
2017-10-01,295030.312500
2018-01-01,296392.812500
2018-04-01,296321.906250
2018-07-01,299008.812500
2018-10-01,298387.812500
2019-01-01,299244.187500
2019-04-01,301024.593750
2019-07-01,300914.593750
2019-10-01,303385.500000
2020-01-01,296690.093750
2020-04-01,270496.500000
2020-07-01,291806.687500
2020-10-01,302607.593750
2021-01-01,305580.312500
2021-04-01,303685.687500
2021-07-01,304042.906250
2021-10-01,307573.000000
2022-01-01,310197.812500
2022-04-01,313814.312500
2022-07-01,316917.187500
2022-10-01,318206.000000
2023-01-01,322586.812500
2023-04-01,325169.187500
2023-07-01,325808.000000
2023-10-01,326297.593750
